Address,Lat,Long
100 AM,1.27458821795426,103.843470736610
111 Somerset,1.30020625685959,103.837317132796
313@Somerset,1.30101436404056,103.838360664485
AMK Hub,1.36938922717717,103.848477965668
Anchorpoint,1.28861469030586,103.805009964592
Aperia Mall,1.31086672816827,103.863929573292
Bedok Mall,1.32473632784728,103.929256259998
Bugis Junction,1.29911287475873,103.855411173758
Bugis+,1.29960368990297,103.854242347489
Bukit Panjang Plaza,1.37992045176243,103.764357180314
Capitol Singapore,1.29298775382221,103.851046829843
Causeway Point,1.43600784474269,103.785688734050
Century Square,1.35236829566862,103.943812302253
Changi City Point,1.33403637902708,103.962917615531
Chijmes,1.29479670956332,103.852573366033
Chinatown Point,1.28499882847401,103.844697081142
Cineleisure Orchard,1.30152101873533,103.836429655016
City Square Mall,1.31142103107683,103.856624019991
Clarke Quay,1.29030625522020,103.845437856878
Clarke Quay Central,1.28883856248204,103.846558024744
Compass One,1.39205314156706,103.895070543840
Cross Street Exchange,1.28373358974006,103.846996087834
Downtown East,1.37595122154029,103.955598940037
East Village,1.33177581503050,103.946201241591
Eastpoint Mall,1.34270592355576,103.953024618234
Far East Plaza,1.30717698071189,103.833792932243
Forum The Shopping Mall,1.30609752164563,103.828678556041
Funan Mall,1.29134759697794,103.849989790085
Great World,1.29342272650003,103.832022146655
Greenwich V,1.38739539397015,103.869135978173
HarbourFront Centre,1.26396991176004,103.820243325181
Heartland Mall Kovan,1.35954177325561,103.885167372726
Hillion Mall,1.37843100827586,103.762842789877
HillV2,1.36267450828024,103.764172920060
Hougang 1,1.37571530699875,103.879472337592
Hougang Mall,1.37249493810003,103.893775562605
i12 Katong,1.30520653617341,103.905046110228
Icon Village,1.27508297432560,103.844510150859
IMM,1.33487526118006,103.746894773008
ION Orchard,1.30397974144505,103.832032328465
JCube,1.33335548871256,103.740182040775
Jem,1.33329334473462,103.743278742341
Jubilee Square,1.37178558575829,103.847837565378
Junction 10,1.38033681049385,103.760167883439
Junction 8,1.35048125345050,103.848760473211
Junction 9,1.43312283983180,103.841660985990
Jurong Point,1.33945200436320,103.706685012926
Kallang Wave Mall,1.30307515150401,103.873149707591
Kap Mall,1.33697399151920,103.779316558394
Katong V,1.30385030375719,103.902850370889
Kinex,1.31461849889242,103.894738004768
Lot One,1.38506992325619,103.745238868238
Mandarin Gallery,1.30200471731963,103.836583965806
Marina Square,1.29111729179215,103.857758268089
Millenia Walk,1.29260544462492,103.859724944443
NEX,1.35076935257845,103.872296143862
Ngee Ann City,1.30224168528687,103.835181912297
Northpoint City,1.42811357691004,103.836063081819
One Raffles Place,1.28434954622306,103.851072545834
Orchard Central,1.30083890839245,103.839434733899
Orchard Gateway,1.30044325279546,103.839442780042
Pacific Plaza,1.30654704697701,103.832128174215
Palais Renaissance,1.30665484543191,103.829588045188
Paragon,1.30418212572574,103.835940962553
Parkway Parade,1.30091736056425,103.905339280650
Paya Lebar Quarter,1.31617383739365,103.893138984874
Paya Lebar Square,1.31881487007651,103.892580778514
Plaza Singapura,1.30074770963916,103.845047573431
Raffles City,1.29389357863312,103.853119904656
Republic Plaza,1.28348363276903,103.850574036014
Rivervale Mall,1.39219777838449,103.904471600025
Robertson Walk,1.29204228788624,103.841169001413
Scotts Square,1.30579942966172,103.833074706219
Shaw Centre,1.30611334655650,103.831970581812
Shoppes at Marina Bay Sands,1.28423496027027,103.858982282698
Singpost Centre,1.31899666903663,103.894894915962
Square 2,1.32070510956845,103.844160709661
Sun Plaza,1.44819535371132,103.819502127155
Suntec City,1.29485990186642,103.860333693777
Tampines 1,1.35425637962115,103.945071748027
Tampines Mall,1.35252737278519,103.944698751072
Tanglin Mall,1.30484344196915,103.823852794772
Tanglin Place,1.30527219318576,103.825078876759
The Cathay,1.29920609145429,103.847826817241
The Centrepoint,1.30197836876806,103.839759023144
The Clementi Mall,1.31489619639366,103.764423054189
The Poiz Centre,1.33149708073624,103.868214025330
The Seletar Mall,1.39147015374628,103.876125507257
The Star Vista,1.30697044038323,103.788420274115
The Woodleigh Mall,1.33873066388191,103.871670008192
Thomson Plaza,1.35432524209239,103.830328102928
Tiong Bahru Plaza,1.28645889472825,103.827015256194
UE Square,1.29208678032575,103.842729086168
United Square,1.31719450988559,103.843611443038
Valley Point,1.29307225269055,103.827075933142
Velocity @ Novena Square,1.31978949204523,103.844033569199
VivoCity,1.26429316783973,103.822304693650
Waterway Point,1.40653611690554,103.901988171710
West Coast Plaza,1.30362457527941,103.765858386923
West Mall,1.35009714832628,103.749213859570
Westgate,1.33415767556867,103.742766484424
Wheelock Place,1.30467628730252,103.830642027577
White Sands,1.36563610941695,103.960861814678
Wisma Atria,1.30370477426147,103.833205752808
YewTee Point,1.39696992267974,103.746443198224
